+----------------------------------------------------------+----------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                         |                             Module                             | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|               gntv_or_sync_fifo.gl0.wr                   |                               network_buffer_3_fifo_0_wr_logic |         26 |         26 |       0 |    0 |   27 |      0 |      0 |          0 |
|                 gwss.gpf.wrpf                            |                               network_buffer_3_fifo_0_wr_pf_ss |          2 |          2 |       0 |    0 |    9 |      0 |      0 |          0 |
|                 gwss.wsts                                |                     network_buffer_3_fifo_0_wr_status_flags_ss |          3 |          3 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 wpntr                                    |                            network_buffer_3_fifo_0_wr_bin_cntr |         21 |         21 |       0 |    0 |   16 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.mem                      |                                 network_buffer_3_fifo_0_memory |          1 |          1 |       0 |    0 |    1 |      0 |      1 |          0 |
|                 (gntv_or_sync_fifo.mem)                  |                                 network_buffer_3_fifo_0_memory |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|                 gbm.gbmg.gbmga.ngecc.bmg                 |                     network_buffer_3_fifo_0_blk_mem_gen_v8_4_4 |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|                   inst_blk_mem_gen                       |               network_buffer_3_fifo_0_blk_mem_gen_v8_4_4_synth |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|                     gnbram.gnativebmg.native_blk_mem_gen |                        network_buffer_3_fifo_0_blk_mem_gen_top |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|                       valid.cstr                         |               network_buffer_3_fifo_0_blk_mem_gen_generic_cstr |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|                         ramloop[0].ram.r                 |                 network_buffer_3_fifo_0_blk_mem_gen_prim_width |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|                           prim_noinit.ram                |               network_buffer_3_fifo_0_blk_mem_gen_prim_wrapper |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|     buffer_4_fifo                                        |                                        network_buffer_4_fifo_0 |         73 |         73 |       0 |    0 |   71 |      0 |      1 |          0 |
|       U0                                                 |                 network_buffer_4_fifo_0_fifo_generator_v13_2_5 |         73 |         73 |       0 |    0 |   71 |      0 |      1 |          0 |
|         inst_fifo_gen                                    |           network_buffer_4_fifo_0_fifo_generator_v13_2_5_synth |         73 |         73 |       0 |    0 |   71 |      0 |      1 |          0 |
|           gconvfifo.rf                                   |                     network_buffer_4_fifo_0_fifo_generator_top |         73 |         73 |       0 |    0 |   71 |      0 |      1 |          0 |
|             grf.rf                                       |                 network_buffer_4_fifo_0_fifo_generator_ramfifo |         73 |         73 |       0 |    0 |   71 |      0 |      1 |          0 |
|               gntv_or_sync_fifo.gl0.rd                   |                               network_buffer_4_fifo_0_rd_logic |         51 |         51 |       0 |    0 |   40 |      0 |      0 |          0 |
